date,home_team,away_team,team,scorer,minute,own_goal,penalty
4/8/1984,England,Denmark,England,Linda Curl,31,FALSE,FALSE
4/8/1984,England,Denmark,Denmark,Inge Hindkjær,49,FALSE,TRUE
4/8/1984,England,Denmark,England,Elisabeth Deighan,51,FALSE,FALSE
4/8/1984,Italy,Sweden,Italy,Carolina Morace,18,FALSE,FALSE
4/8/1984,Italy,Sweden,Sweden,Helen Johansson,23,FALSE,FALSE
4/8/1984,Italy,Sweden,Italy,Elisabetta Vignotto,31,FALSE,FALSE
4/8/1984,Italy,Sweden,Sweden,Pia Sundhage,48,FALSE,FALSE
4/8/1984,Italy,Sweden,Sweden,Doris Uusitalo,57,FALSE,FALSE
4/28/1984,Denmark,England,England,Debbie Bampton,44,FALSE,FALSE
4/28/1984,Sweden,Italy,Sweden,Pia Sundhage,28,FALSE,FALSE
4/28/1984,Sweden,Italy,Italy,Carolina Morace,50,FALSE,FALSE
4/28/1984,Sweden,Italy,Sweden,Pia Sundhage,52,FALSE,FALSE
5/12/1984,Sweden,England,Sweden,Pia Sundhage,57,FALSE,FALSE
5/27/1984,England,Sweden,England,Linda Curl,31,FALSE,FALSE
6/11/1987,Norway,Italy,Norway,Trude Stendal,40,FALSE,FALSE
6/11/1987,Norway,Italy,Norway,Heidi Støre,73,FALSE,FALSE
6/11/1987,Sweden,England,Sweden,Anette Börjesson,32,FALSE,FALSE
6/11/1987,Sweden,England,England,Jackie Sherrard,35,FALSE,FALSE
6/11/1987,Sweden,England,England,Kerry Davis,43,FALSE,FALSE
6/11/1987,Sweden,England,Sweden,Gunilla Axén,50,FALSE,FALSE
6/11/1987,Sweden,England,Sweden,Gunilla Axén,100,FALSE,FALSE
6/13/1987,Italy,England,England,Kerry Davis,4,FALSE,TRUE
6/13/1987,Italy,England,Italy,Carolina Morace,36,FALSE,FALSE
6/13/1987,Italy,England,Italy,Elisabetta Vignotto,50,FALSE,FALSE
6/14/1987,Norway,Sweden,Norway,Trude Stendal,28,FALSE,FALSE
6/14/1987,Norway,Sweden,Norway,Trude Stendal,72,FALSE,FALSE
6/14/1987,Norway,Sweden,Sweden,Lena Videkull,73,FALSE,FALSE
6/28/1989,Germany,Italy,Germany,Silvia Neid,57,FALSE,FALSE
6/28/1989,Germany,Italy,Italy,Elisabetta Vignotto,72,FALSE,FALSE
6/28/1989,Sweden,Norway,Norway,Linda Medalen,1,FALSE,FALSE
6/28/1989,Sweden,Norway,Norway,Sissel Grude,52,FALSE,FALSE
6/28/1989,Sweden,Norway,Sweden,Lena Videkull,54,FALSE,FALSE
6/30/1989,Sweden,Italy,Italy,Feriana Ferraguzzi,28,FALSE,FALSE
6/30/1989,Sweden,Italy,Sweden,Pia Sundhage,43,FALSE,FALSE
6/30/1989,Sweden,Italy,Sweden,Helen Johansson,94,FALSE,FALSE
